date,window_id,window_start,window_end,n_days,n_assets,prec_num_edges,prec_avg_degree,prec_density,prec_total_weight,prec_avg_weight
2011-02-22,34,2010-02-24,2011-02-22,252,150,1500,20.0,0.1342281879194631,131.34873600214763,0.04378291200071588
2011-02-23,35,2010-02-25,2011-02-23,252,150,1500,20.0,0.1342281879194631,139.96504362010612,0.04665501454003537
2011-02-24,36,2010-02-26,2011-02-24,252,150,1500,20.0,0.1342281879194631,131.55056880485233,0.04385018960161744
2011-02-25,37,2010-03-01,2011-02-25,252,150,1500,20.0,0.1342281879194631,140.14083230473526,0.04671361076824509
2011-02-28,38,2010-03-02,2011-02-28,252,150,1500,20.0,0.1342281879194631,131.790573377459,0.04393019112581967
2011-03-01,39,2010-03-03,2011-03-01,252,150,1500,20.0,0.1342281879194631,140.05823732529203,0.04668607910843067
2011-03-02,40,2010-03-04,2011-03-02,252,150,1500,20.0,0.1342281879194631,139.99866141869617,0.04666622047289872
2011-03-03,41,2010-03-05,2011-03-03,252,150,1500,20.0,0.1342281879194631,139.98946716133344,0.04666315572044448
2011-03-04,42,2010-03-08,2011-03-04,252,150,1500,20.0,0.1342281879194631,139.91889749526393,0.04663963249842131
2011-03-07,43,2010-03-09,2011-03-07,252,150,1500,20.0,0.1342281879194631,131.5193097714693,0.043839769923823095
2011-03-08,44,2010-03-10,2011-03-08,252,150,1500,20.0,0.1342281879194631,139.92604955356072,0.046642016517853574
2011-03-09,45,2010-03-11,2011-03-09,252,150,1500,20.0,0.1342281879194631,140.02682283130184,0.04667560761043395
2011-03-10,46,2010-03-12,2011-03-10,252,150,1500,20.0,0.1342281879194631,140.01679672515934,0.046672265575053114
2011-03-11,47,2010-03-15,2011-03-11,252,150,1500,20.0,0.1342281879194631,139.99065239786188,0.046663550799287294
2011-03-14,48,2010-03-16,2011-03-14,252,150,1500,20.0,0.1342281879194631,131.84574935502138,0.04394858311834046
2011-03-15,49,2010-03-17,2011-03-15,252,150,1500,20.0,0.1342281879194631,131.93700655314376,0.043979002184381256
2011-03-16,50,2010-03-18,2011-03-16,252,150,1500,20.0,0.1342281879194631,140.00475861874108,0.04666825287291369
2011-03-17,51,2010-03-19,2011-03-17,252,150,1500,20.0,0.1342281879194631,87.42872042568311,0.029142906808561037
2011-03-18,52,2010-03-22,2011-03-18,252,150,1500,20.0,0.1342281879194631,140.14003855041506,0.046713346183471685
2011-03-21,53,2010-03-23,2011-03-21,252,150,1500,20.0,0.1342281879194631,131.68464747963148,0.043894882493210496
2011-03-22,54,2010-03-24,2011-03-22,252,150,1500,20.0,0.1342281879194631,140.0638656049902,0.046687955201663404
2011-03-23,55,2010-03-25,2011-03-23,252,150,1500,20.0,0.1342281879194631,140.21985614740578,0.04673995204913526
2011-03-24,56,2010-03-26,2011-03-24,252,150,1500,20.0,0.1342281879194631,131.72220772594918,0.04390740257531639
2011-03-25,57,2010-03-29,2011-03-25,252,150,1500,20.0,0.1342281879194631,131.76581104387265,0.04392193701462421
2011-03-28,58,2010-03-30,2011-03-28,252,150,1500,20.0,0.1342281879194631,131.80260774848853,0.043934202582829505
2011-03-29,59,2010-03-31,2011-03-29,252,150,1500,20.0,0.1342281879194631,87.4233898126931,0.029141129937564368
2011-03-30,60,2010-04-01,2011-03-30,252,150,1500,20.0,0.1342281879194631,140.46222385953573,0.04682074128651191
2011-03-31,61,2010-04-05,2011-03-31,252,150,1500,20.0,0.1342281879194631,131.99441773804253,0.04399813924601417
2011-04-01,62,2010-04-06,2011-04-01,252,150,1500,20.0,0.1342281879194631,132.06295403930463,0.044020984679768206
2011-04-04,63,2010-04-07,2011-04-04,252,150,1500,20.0,0.1342281879194631,132.01248469802164,0.04400416156600721
2011-04-05,64,2010-04-08,2011-04-05,252,150,1500,20.0,0.1342281879194631,131.95892672479573,0.04398630890826524
2011-04-06,65,2010-04-09,2011-04-06,252,150,1500,20.0,0.1342281879194631,131.8822278778569,0.0439607426259523
2011-04-07,66,2010-04-12,2011-04-07,252,150,1500,20.0,0.1342281879194631,131.7802884848318,0.04392676282827727
2011-04-08,67,2010-04-13,2011-04-08,252,150,1500,20.0,0.1342281879194631,140.56263224451678,0.04685421074817226
2011-04-11,68,2010-04-14,2011-04-11,252,150,1500,20.0,0.1342281879194631,131.7122507584943,0.043904083586164766
2011-04-12,69,2010-04-15,2011-04-12,252,150,1500,20.0,0.1342281879194631,140.47633279224482,0.046825444264081605
2011-04-13,70,2010-04-16,2011-04-13,252,150,1500,20.0,0.1342281879194631,140.51998725394475,0.046839995751314915
2011-04-14,71,2010-04-19,2011-04-14,252,150,1500,20.0,0.1342281879194631,131.80164735480173,0.04393388245160058
2011-04-15,72,2010-04-20,2011-04-15,252,150,1500,20.0,0.1342281879194631,140.33805894823269,0.04677935298274423
2011-04-18,73,2010-04-21,2011-04-18,252,150,1500,20.0,0.1342281879194631,140.3659026250262,0.04678863420834206
2011-04-19,74,2010-04-22,2011-04-19,252,150,1500,20.0,0.1342281879194631,131.56967833602536,0.04385655944534179
2011-04-20,75,2010-04-23,2011-04-20,252,150,1500,20.0,0.1342281879194631,139.42153219229073,0.04647384406409691
2011-04-21,76,2010-04-26,2011-04-21,252,150,1500,20.0,0.1342281879194631,139.3433559743654,0.04644778532478847
2011-04-25,77,2010-04-27,2011-04-25,252,150,1500,20.0,0.1342281879194631,139.23472107942666,0.04641157369314222
2011-04-26,78,2010-04-28,2011-04-26,252,150,1500,20.0,0.1342281879194631,139.3428371028611,0.046447612367620364
2011-04-27,79,2010-04-29,2011-04-27,252,150,1500,20.0,0.1342281879194631,139.53188544287627,0.04651062848095876
2011-04-28,80,2010-04-30,2011-04-28,252,150,1500,20.0,0.1342281879194631,131.3463086956283,0.043782102898542764
2011-04-29,81,2010-05-03,2011-04-29,252,150,1500,20.0,0.1342281879194631,131.29785702302172,0.04376595234100724
2011-05-02,82,2010-05-04,2011-05-02,252,150,1500,20.0,0.1342281879194631,131.4296130997879,0.043809871033262636
2011-05-03,83,2010-05-05,2011-05-03,252,150,1500,20.0,0.1342281879194631,84.36871403587446,0.02812290467862482
2011-05-04,84,2010-05-06,2011-05-04,252,150,1500,20.0,0.1342281879194631,84.37754605669608,0.02812584868556536
2011-05-05,85,2010-05-07,2011-05-05,252,150,1500,20.0,0.1342281879194631,139.49864186876013,0.04649954728958671
