date,window_id,window_start,window_end,n_days,n_assets,corr_f_edge_mean,corr_f_edge_median,corr_f_edge_q10,corr_f_edge_q05,corr_f_edge_ltm10,corr_f_edge_frac_neg,corr_f_vertex_mean,corr_f_vertex_median,corr_f_vertex_q10,prec_f_edge_mean,prec_f_edge_median,prec_f_edge_q10,prec_f_edge_q05,prec_f_edge_ltm10,prec_f_edge_frac_neg,prec_f_vertex_mean,prec_f_vertex_median,prec_f_vertex_q10
2011-03-24,56,2010-03-26,2011-03-24,252,150,-3279.6193323116318,-3112.8854109924937,-5288.929383478857,-6023.670289841571,-6290.4738292536995,0.9967741935483871,-2448.7931872526024,-2534.5117087400345,-4035.951598584707,-197.60890247869648,-178.13652276158498,-315.6113075911439,-376.5885410275335,-411.04915021272444,1.0,-178.14935277786722,-174.6065664220322,-242.75783574467243
2011-03-25,57,2010-03-29,2011-03-25,252,150,-3278.6973337056547,-3096.212798731218,-5291.002642244463,-6060.34950927543,-6324.295708405524,0.9967741935483871,-2465.197456369365,-2549.16733943928,-4150.469324467738,-90.5122843334705,-71.69068391020315,-182.95591214057714,-230.11837837089624,-240.95678036136127,0.9993333333333333,-66.31266776352344,-67.89088647991564,-104.0522384599943
2011-03-28,58,2010-03-30,2011-03-28,252,150,-3272.262383019744,-3109.958247485649,-5274.628280480411,-6032.155306169468,-6274.54555737103,0.9967741935483871,-2423.706999875016,-2544.4690153521788,-4005.3886530141453,-90.3401322171553,-73.0444069760186,-180.02750935016016,-224.3451706361122,-238.0187386306313,0.9993333333333333,-66.09907312808194,-68.9868828632579,-102.54487384886288
2011-03-29,59,2010-03-31,2011-03-29,252,150,-3290.9023987168835,-3117.0575919447183,-5297.069533935804,-6127.238926657023,-6362.928443825663,0.9967741935483871,-2468.178394021818,-2556.1337429070645,-4165.102570657111,-91.16427720105742,-73.114520355264,-182.3917428694198,-225.66360448728312,-243.59481014864204,0.9993333333333333,-66.8673676163256,-69.42753107905264,-103.45809473224527
2011-03-30,60,2010-04-01,2011-03-30,252,150,-3271.600049893961,-3096.4027036069265,-5238.623265098965,-5961.24014736743,-6235.938364170804,0.9967741935483871,-2420.970107470864,-2505.743809637247,-4106.566573368725,-89.72356120038052,-72.15062031791952,-178.13420916353923,-217.005583666421,-232.27894124924245,0.9993333333333333,-65.58668245100976,-68.30574572330954,-100.86344769505372
2011-03-31,61,2010-04-05,2011-03-31,252,150,-3262.0709312062454,-3098.4084722602283,-5244.433759944454,-5992.104923593528,-6209.035831861054,0.996776273372018,-2379.7377244282616,-2525.471397109518,-3957.322286721929,-192.9950053721129,-180.584297308383,-307.80820546650847,-355.5586879175393,-375.21154576770874,1.0,-174.63411790192865,-163.8301790578431,-248.28085487993147
2011-04-01,62,2010-04-06,2011-04-01,252,150,-3259.8846682986778,-3101.196891509169,-5233.751173774605,-5983.8822691821215,-6241.6359340830195,0.9967741935483871,-2394.2340662184606,-2527.751154267848,-4099.857894472968,-188.58144536991566,-178.27143111661718,-296.0910301185014,-340.86912552911264,-360.78822949188736,1.0,-171.84378756215742,-164.56558304632705,-247.5854598805272
2011-04-04,63,2010-04-07,2011-04-04,252,150,-3254.6539296478077,-3089.974285727747,-5210.807745447113,-5991.919974793371,-6220.620785105727,0.9967741935483871,-2401.7589739834034,-2522.43344474706,-4148.06313009385,-186.55303603433077,-175.24256922205132,-290.36616340355886,-332.5058606952302,-351.16872988912394,1.0,-170.42434188140717,-161.93989537266057,-251.340317808995
2011-04-05,64,2010-04-08,2011-04-05,252,150,-3265.4354928050006,-3095.3212212400495,-5226.205587374771,-5940.980529892781,-6206.913592468982,0.9961315280464217,-2397.51266229095,-2524.8679064025278,-4099.631733673343,-188.26429220231833,-176.05275668481391,-296.2018364492206,-342.5350246163063,-363.14223466474175,1.0,-171.38424073254703,-163.4713983199646,-253.92733242154335
2011-04-06,65,2010-04-09,2011-04-06,252,150,-3263.0103553787694,-3084.2618615741976,-5262.27234746933,-6006.64910986144,-6266.551019611047,0.996776273372018,-2412.8495727136115,-2518.1751765048493,-4096.341962885162,-89.80510630105735,-72.29519736945625,-181.60626556738316,-212.09552530393958,-235.07611548585155,0.9993337774816788,-65.50524305185598,-68.45810820573999,-103.93639177388529
2011-04-07,66,2010-04-12,2011-04-07,252,150,-3259.0758075013573,-3106.7094101293696,-5241.953726519109,-5996.524106242004,-6237.689046601869,0.996776273372018,-2396.7583190060723,-2507.6367964004885,-4093.188663584434,-90.84645525473684,-73.94934974332034,-183.6239911553927,-219.4375240729002,-234.82327959327694,0.9993337774816788,-65.8679355837618,-67.91306340996991,-103.57986771828764
2011-04-08,67,2010-04-13,2011-04-08,252,150,-3260.7332816205603,-3103.532624348705,-5201.773254847123,-6007.433743278026,-6230.41355784211,0.996776273372018,-2417.9985777796533,-2543.620686022185,-4000.085798926328,-90.68835466037504,-75.52214594587525,-180.01572310784775,-216.42387993409776,-232.4631412678793,0.9993337774816788,-66.09045701337249,-68.44656632310874,-105.44475097472946
