date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-07-22,139,2010-07-26,2011-07-22,252,151,1551,20.543046357615893,0.13695364238410596,1602.1976592163833,0.51650472573062
2011-07-25,140,2010-07-27,2011-07-25,252,151,1550,20.52980132450331,0.1368653421633554,1597.6874097230655,0.5153830353945372
2011-07-26,141,2010-07-28,2011-07-26,252,151,1549,20.516556291390728,0.13677704194260484,1595.2506996118454,0.5149292122698016
2011-07-27,142,2010-07-29,2011-07-27,252,151,1549,20.516556291390728,0.13677704194260484,1612.6954266936168,0.520560176466629
2011-07-28,143,2010-07-30,2011-07-28,252,151,1551,20.543046357615893,0.13695364238410596,1617.4981508927463,0.5214371859744508
2011-07-29,144,2010-08-02,2011-07-29,252,151,1551,20.543046357615893,0.13695364238410596,1618.7106755238924,0.5218280707685018
2011-08-01,145,2010-08-03,2011-08-01,252,151,1550,20.52980132450331,0.1368653421633554,1603.1671314873429,0.5171506875765622
2011-08-02,146,2010-08-04,2011-08-02,252,151,1551,20.543046357615893,0.13695364238410596,1632.2726293235955,0.5262000739276581
2011-08-03,147,2010-08-05,2011-08-03,252,151,1548,20.503311258278146,0.1366887417218543,1625.857355438602,0.5251477246248715
2011-08-04,148,2010-08-06,2011-08-04,252,151,1550,20.52980132450331,0.1368653421633554,1681.3479369419488,0.5423703022393384
2011-08-05,149,2010-08-09,2011-08-05,252,151,1549,20.516556291390728,0.13677704194260484,1678.6100205122339,0.5418366754397139
2011-08-08,150,2010-08-10,2011-08-08,252,151,1554,20.582781456953644,0.1372185430463576,1763.5544728434688,0.5674242190616051
2011-08-09,151,2010-08-11,2011-08-09,252,151,1560,20.662251655629138,0.13774834437086092,1825.3744533910644,0.5850559145484181
2011-08-10,152,2010-08-12,2011-08-10,252,151,1556,20.60927152317881,0.13739514348785872,1834.9007719706394,0.5896210706846527
2011-08-11,153,2010-08-13,2011-08-11,252,151,1559,20.649006622516556,0.13766004415011038,1880.779792024541,0.6032007030226237
2011-08-12,154,2010-08-16,2011-08-12,252,151,1559,20.649006622516556,0.13766004415011038,1875.9628372727896,0.601655816957277
2011-08-15,155,2010-08-17,2011-08-15,252,151,1558,20.635761589403973,0.13757174392935984,1883.1831465822765,0.6043591612908461
2011-08-16,156,2010-08-18,2011-08-16,252,151,1560,20.662251655629138,0.13774834437086092,1884.339560685606,0.6039549873992327
2011-08-17,157,2010-08-19,2011-08-17,252,151,1560,20.662251655629138,0.13774834437086092,1884.2580984897427,0.6039288777210714
2011-08-18,158,2010-08-20,2011-08-18,252,151,1557,20.62251655629139,0.13748344370860927,1921.2881462050213,0.6169839904319272
2011-08-19,159,2010-08-23,2011-08-19,252,151,1556,20.60927152317881,0.13739514348785872,1924.9104064053677,0.6185444750659922
2011-08-22,160,2010-08-24,2011-08-22,252,151,1556,20.60927152317881,0.13739514348785872,1922.582131382043,0.6177963147114534
2011-08-23,161,2010-08-25,2011-08-23,252,151,1556,20.60927152317881,0.13739514348785872,1935.764949982896,0.6220324389405193
2011-08-24,162,2010-08-26,2011-08-24,252,151,1555,20.596026490066226,0.13730684326710818,1938.9506235211795,0.6234567921289966
2011-08-25,163,2010-08-27,2011-08-25,252,151,1555,20.596026490066226,0.13730684326710818,1943.0404423154719,0.6247718464036887
2011-08-26,164,2010-08-30,2011-08-26,252,151,1555,20.596026490066226,0.13730684326710818,1940.3424715671931,0.6239043316936312
2011-08-29,165,2010-08-31,2011-08-29,252,151,1554,20.582781456953644,0.1372185430463576,1950.499270025376,0.6275737677044324
2011-08-30,166,2010-09-01,2011-08-30,252,151,1554,20.582781456953644,0.1372185430463576,1950.096369454868,0.6274441343162381
2011-08-31,167,2010-09-02,2011-08-31,252,151,1554,20.582781456953644,0.1372185430463576,1929.1555676179355,0.6207064245874954
2011-09-01,168,2010-09-03,2011-09-01,252,151,1554,20.582781456953644,0.1372185430463576,1932.719219487364,0.6218530307230901
2011-09-02,169,2010-09-07,2011-09-02,252,151,1554,20.582781456953644,0.1372185430463576,1946.73936035808,0.6263640155592278
