date,window_start,window_end,n_days,n_assets,corr_diff_gamma,corr_diff_tmix_proxy,corr_diff_pi_min,corr_diff_lambda2,corr_ct_mean,corr_ct_median,corr_ct_q10,corr_ct_q90,corr_mfpt_mean,corr_mfpt_median,corr_mfpt_q10,corr_mfpt_q90,prec_diff_gamma,prec_diff_tmix_proxy,prec_diff_pi_min,prec_diff_lambda2,prec_ct_mean,prec_ct_median,prec_ct_q10,prec_ct_q90,prec_mfpt_mean,prec_mfpt_median,prec_mfpt_q10,prec_mfpt_q90
2018-08-27,2017-08-28,2018-08-27,252,167,0.002553277161063572,5206.969985207949,0.00016831600628979546,0.9974467228389364,4070.3981973621326,3503.8637771222056,204.72342859494697,9472.34130578659,2035.1990986810663,637.8437340718212,77.8109128672713,5945.910835024285,0.084575711289542,126.48429271087483,0.0022601392851746495,0.915424288710458,417.9265873852826,410.6306336026007,326.4134670064418,517.2016580898036,208.9632936926413,200.10749071622683,149.4075336707906,273.53457231563783
2018-08-28,2017-08-29,2018-08-28,252,167,0.0025326947513102382,5245.776152544633,0.0001698186352101933,0.9974673052486898,4001.1815443585624,3511.7633822917737,205.3045526271398,9498.09066395904,2000.5907721792812,638.6463649976752,78.9063760684029,5894.193859419734,0.08493787494926208,125.94350653925618,0.0022604223036887853,0.9150621250507379,418.0464297876323,410.65598503815494,326.40000714210544,517.7148913347872,209.0232148938162,200.20468030790403,149.59516982886706,273.796092064364
2018-08-29,2017-08-30,2018-08-29,252,167,0.002538766981699414,5231.862142151494,0.00017040907749404303,0.9974612330183006,4033.6740383578885,3504.3967542825735,205.3998796788607,9520.354064700477,2016.8370191789443,636.0659734821302,78.58308956319935,5915.112239837551,0.08502172516099626,125.78728235288638,0.0022665836911866556,0.9149782748390037,417.98957861307827,410.20460867577793,326.208218879698,517.9918065941293,208.99478930653913,199.6035706305339,149.52018377923358,273.7417847906622
2018-08-30,2017-08-31,2018-08-30,252,167,0.0015658844703730912,8481.472518387116,0.00017066023353222337,0.9984341155296269,4516.3755129796955,4142.2209885042475,208.47145129292377,11017.147184826905,2258.1877564898477,810.2568855110981,77.86285677418493,5920.707374632214,0.08507420992214187,125.6878477345875,0.0022707975698394913,0.9149257900778581,418.1208440249528,410.5862471637135,326.7989932445526,518.4366285289808,209.0604220124764,200.70772728184687,149.98836992868212,274.0812651250161
2018-08-31,2017-09-01,2018-08-31,252,167,0.0015667889139807656,8479.789988176079,0.00016980314535606648,0.9984332110860192,4521.936659452227,4141.405884395189,206.7154855257117,11022.622644227138,2260.9683297261136,808.0775232298563,78.24309355498984,6114.688404478186,0.08502735884523427,125.74870996261758,0.0022724187177282297,0.9149726411547657,418.34530180278,410.2376921096528,326.5826936705041,520.0496743020507,209.17265090139006,200.77644868500008,149.78573842030033,276.00891762913375
2018-09-04,2017-09-05,2018-09-04,252,167,0.0016041378947602158,8282.068978173142,0.00016988131548815677,0.9983958621052398,4462.544028581742,4146.850617197576,206.52696131405386,10942.379628634018,2231.2720142908706,797.6569565198257,78.37810603857746,5908.358143293625,0.08475581011803879,126.13444468632363,0.0022757244056681564,0.9152441898819612,418.30653803891784,410.50338812925935,326.4230500523249,519.3806003043567,209.1532690194589,200.50651831925268,149.6584251766332,275.0106619186595
2018-09-05,2017-09-06,2018-09-05,252,167,0.0015264644208307088,8706.074372878278,0.00016921464006698961,0.9984735355791693,4501.822282552749,4140.0095935315485,203.63161534976587,11059.519840384204,2250.9111412763746,812.0356560162058,78.32277887411537,6091.204136687675,0.0838744672282572,127.44097418932711,0.002279330254506174,0.9161255327717428,418.4448168424573,410.4709802626504,326.0758952561613,520.4705150372855,209.2224084212287,200.04461270582826,149.77593970855278,273.9701734011864
2018-09-06,2017-09-07,2018-09-06,252,167,0.0024930062022821,5326.966326625796,0.00017080467502597935,0.9975069937977179,3758.080364156397,3319.1470549862606,204.1555741947425,9067.175828374959,1879.0401820781983,610.5661777826716,78.47694495999328,5494.958416794444,0.08306354255541137,128.75659413224955,0.002265842442273339,0.9169364574445886,418.3611080050599,410.10909366684336,326.1689414493421,520.3640898086838,209.18055400253002,200.2669443019474,149.63706121125716,273.9637140182431
2018-09-07,2017-09-08,2018-09-07,252,167,0.0024875825260690654,5341.757698185141,0.00016946012280461865,0.9975124174739309,4024.9645060130697,3542.3458681466136,201.89088112881072,9380.155596769775,2012.482253006535,620.3571642664381,78.70381589525415,5965.246255441372,0.08311400969042382,128.86962731997565,0.002230116912207067,0.9168859903095762,418.58464739525874,410.1426849430471,326.0510927924373,520.4820752436665,209.29232369762943,200.35781827218312,149.97604699007243,274.7108976894287
2018-09-10,2017-09-11,2018-09-10,252,167,0.0015192120376750218,8747.717488443566,0.00016919350050251068,0.998480787962325,4648.657019621781,4305.252600452708,200.86912977835226,11024.143469224264,2324.3285098108904,834.4695735970774,78.98895668979002,6220.342948752946,0.030926732015576386,385.11862250247935,0.0006719744450564558,0.9690732679844236,509.63791549980664,463.69308943219016,315.1774188566289,720.1355941877945,254.8189577499033,220.14037455002807,136.4725345309412,371.3945885104717
