label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_gamma,Correlation graph: Diff Gamma,0.45897171553546634
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_ct_q10,Correlation graph: Ct Q10,0.30006972837480483
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,0.28649344953271183
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_gamma,Precision graph: Diff Gamma,0.08831428127966956
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_pi_min,Correlation graph: Diff Pi Min,0.04600890355309868
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q90,Precision graph: Ct Q90,0.014498847445835324
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,0.0005548004842399229
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_mean,Precision graph: Ct Mean,0.0005548004842399212
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,-0.008630160713044873
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_median,Precision graph: Ct Median,-0.06007883790885007
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,-0.06740257077705851
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.07978148359299055
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_lambda2,Precision graph: Diff Lambda2,-0.08831428127966956
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_tmix_proxy,Precision graph: Diff Tmix Proxy,-0.1281994325405622
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q10,Precision graph: Ct Q10,-0.1374170953557382
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_median,Precision graph: Mean First Passage Time Median,-0.1845091047834088
y_dd_h10_thr7,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_median,Correlation graph: Mean First Passage Time Median,-0.27329444349239834
